time,model,input_tokens,output_tokens,cost_usd
2025-09-08T18:08:36+02:00,gpt-4o,1567,10,0.004018
2025-09-08T18:28:11+02:00,gpt-4o-mini,3357394,176,0.503715
2025-09-10T23:20:22+02:00,gpt-4o-mini,37175,145,0.005663,0,0
2025-09-11T08:23:18+02:00,gpt-4o-mini,340,191,0.000166,0,0
2025-09-11T08:24:38+02:00,gpt-4o,340,228,0.003130,0,0
2025-09-11T08:25:06+02:00,gpt-4o,1445,137,0.004982,0,0
2025-09-11T22:07:38+02:00,gpt-4o-mini,226478,350,0.034182,0,0
2025-09-11T22:07:40+02:00,gpt-4o-mini,226478,350,0.034182,0,0
2025-09-11T22:08:55+02:00,gpt-4o-mini,226478,350,0.034182,0,0
2025-09-11T22:09:03+02:00,gpt-4o-mini,226478,350,0.034182,0,0
2025-09-11T22:10:36+02:00,gpt-4o-mini,226478,350,0.034182,0,0
2025-09-12T14:35:08+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:35:21+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:35:44+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:36:06+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:36:32+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:36:47+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:37:03+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:37:17+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:37:33+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:37:48+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:38:04+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:38:20+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:38:35+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:38:55+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:39:12+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:39:22+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:39:44+02:00,gpt-4o,0,0,0.000000
2025-09-12T14:55:56+02:00,gpt-4o,6714,94,0.017725
2025-09-12T14:56:11+02:00,gpt-4o,6714,9,0.016875
2025-09-12T14:56:27+02:00,gpt-4o,6714,94,0.017725
2025-09-12T14:56:41+02:00,gpt-4o,6714,92,0.017705
2025-09-12T14:56:57+02:00,gpt-4o,6714,88,0.017665
2025-09-12T14:57:14+02:00,gpt-4o,6714,109,0.017875
2025-09-12T14:57:32+02:00,gpt-4o,6714,73,0.017515
2025-09-12T14:57:45+02:00,gpt-4o,6714,9,0.016875
2025-09-12T14:58:02+02:00,gpt-4o,6714,82,0.017605
2025-09-12T14:58:20+02:00,gpt-4o,6714,109,0.017875
2025-09-12T14:58:38+02:00,gpt-4o,6714,69,0.017475
2025-09-12T14:58:58+02:00,gpt-4o,6714,63,0.017415
2025-09-12T14:59:30+02:00,gpt-4o,6714,69,0.017475
2025-09-12T14:59:47+02:00,gpt-4o,6714,77,0.017555
2025-09-12T15:00:01+02:00,gpt-4o,6714,70,0.017485
2025-09-12T15:00:11+02:00,gpt-4o,1189,37,0.003342
2025-09-12T15:00:37+02:00,gpt-4o,12489,210,0.033322
2025-09-12T15:08:50+02:00,gpt-4o-mini,147424,160,0.022210
2025-09-12T15:09:02+02:00,gpt-4o-mini,147424,163,0.022211
2025-09-12T15:09:26+02:00,gpt-4o-mini,147424,132,0.022193
2025-09-12T15:10:25+02:00,gpt-4o-mini,110589,131,0.016667
2025-09-12T15:10:41+02:00,gpt-4o-mini,110589,114,0.016657
2025-09-12T20:03:35+02:00,gpt-4o,6801,96,0.017962
2025-09-12T20:03:49+02:00,gpt-4o,6840,63,0.017730
2025-09-12T20:04:05+02:00,gpt-4o,6887,78,0.017997
2025-09-12T20:04:19+02:00,gpt-4o,6817,9,0.017133
2025-09-12T20:14:23+02:00,gpt-4o,6969,72,0.018142
2025-09-12T20:14:40+02:00,gpt-4o,6908,70,0.017970
2025-09-12T20:14:55+02:00,gpt-4o,7271,72,0.018897
2025-09-12T20:15:10+02:00,gpt-4o,6897,57,0.017813
2025-09-12T20:15:25+02:00,gpt-4o,7013,75,0.018283
2025-09-12T20:15:39+02:00,gpt-4o,6848,61,0.017730
2025-09-12T20:15:57+02:00,gpt-4o,6807,85,0.017867
2025-09-12T20:16:35+02:00,gpt-4o,11960,187,0.031770
2025-09-12T20:26:48+02:00,gpt-4o,6969,69,0.018113
2025-09-12T20:27:06+02:00,gpt-4o,6908,85,0.018120
2025-09-12T20:27:23+02:00,gpt-4o,7271,78,0.018957
2025-09-12T20:27:37+02:00,gpt-4o,6897,9,0.017333
2025-09-12T20:27:53+02:00,gpt-4o,7013,66,0.018193
2025-09-12T20:28:12+02:00,gpt-4o,6848,74,0.017860
2025-09-12T20:28:31+02:00,gpt-4o,6316,166,0.017450
2025-09-12T20:33:14+02:00,gpt-4o,6723,83,0.017638
2025-09-12T20:33:30+02:00,gpt-4o,6723,68,0.017487
2025-09-12T20:33:46+02:00,gpt-4o,6723,65,0.017458
2025-09-12T20:34:02+02:00,gpt-4o,6723,64,0.017447
2025-09-12T20:34:18+02:00,gpt-4o,6723,57,0.017378
2025-09-12T20:34:36+02:00,gpt-4o,6723,73,0.017538
2025-09-12T20:34:52+02:00,gpt-4o,5618,78,0.014825
2025-09-12T20:35:06+02:00,gpt-4o,6432,151,0.017590
2025-09-12T23:21:08+02:00,gpt-4o,6723,67,0.017477
2025-09-12T23:21:28+02:00,gpt-4o,6723,69,0.017497
2025-09-12T23:21:40+02:00,gpt-4o,6723,58,0.017388
2025-09-12T23:21:54+02:00,gpt-4o,6723,71,0.017517
2025-09-12T23:22:09+02:00,gpt-4o,6723,65,0.017458
2025-09-12T23:22:26+02:00,gpt-4o,6723,107,0.017878
2025-09-12T23:22:44+02:00,gpt-4o,5618,84,0.014885
2025-09-12T23:23:02+02:00,gpt-4o,6464,194,0.018100
2025-09-13T20:19:57+02:00,gpt-4o,6723,76,0.017567
2025-09-13T20:20:13+02:00,gpt-4o,6723,72,0.017527
2025-09-13T20:20:29+02:00,gpt-4o,6723,72,0.017527
2025-09-13T20:20:46+02:00,gpt-4o,6723,130,0.018107
2025-09-13T20:21:01+02:00,gpt-4o,6723,90,0.017708
2025-09-13T20:21:15+02:00,gpt-4o,6723,68,0.017487
2025-09-13T20:21:28+02:00,gpt-4o,5618,10,0.014145
2025-09-13T20:21:44+02:00,gpt-4o,6453,163,0.017763
2025-09-13T21:34:35+02:00,gpt-4o,6723,77,0.017577
2025-09-13T22:24:09+02:00,gpt-4o,6647,7,0.016688
2025-09-13T22:24:24+02:00,gpt-4o,6647,2,0.016637
2025-09-13T22:24:39+02:00,gpt-4o,6647,2,0.016637
2025-09-13T22:24:54+02:00,gpt-4o,6647,2,0.016637
